レベル,日付と時刻,ソース,イベント ID,タスクのカテゴリ
警告,2023/06/13 17:20:46,Microsoft-Windows-DNS-Client,1014,(1014),名前 t-ring-fallbacks2.msedge.net の名前解決は、構成されたどの DNS サーバーからも応答がなく、タイムアウトしました。
情報,2023/06/13 16:39:46,Microsoft-Windows-FilterManager,6,なし,ファイル システム フィルター 'EasyAntiCheatSys' (6.1、‎2023‎-‎05‎-‎23T21:13:48.000000000Z) が正常に読み込まれ、フィルター マネージャーに登録されました。
情報,2023/06/13 16:39:42,Service Control Manager,7045,なし,"サービスがシステムにインストールされました。

サービス名:  EasyAntiCheatSys
サービス ファイル名:  C:\Program Files (x86)\EasyAntiCheat\EasyAntiCheat.sys
サービスの種類:  カーネル モード ドライバー
サービス開始の種類:  要求による開始
サービス アカウント:  "
警告,2023/06/13 16:34:26,Microsoft-Windows-DistributedCOM,10016,なし,"アプリケーション固有 のアクセス許可の設定では、CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 および APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 の COM サーバー アプリケーションに対するローカルアクティブ化のアクセス許可を、アプリケーション コンテナー 利用不可 SID (利用不可) で実行中のアドレス LocalHost (LRPC 使用) のユーザー Toshiki-PC\Toshiki SID (S-1-5-21-1375562583-1967171943-3024041195-1001) に与えることはできません。このセキュリティ アクセス許可は、コンポーネント サービス管理ツールを使って変更できます。"
情報,2023/06/13 12:00:00,EventLog,6013,なし,システムの稼働時間は 1021513 秒です。
情報,2023/06/13 9:31:25,Service Control Manager,7040,なし,Background Intelligent Transfer Service サービスの開始の種類は 自動的な開始 から 要求による開始 に変更されました。
情報,2023/06/13 9:20:12,Service Control Manager,7040,なし,Background Intelligent Transfer Service サービスの開始の種類は 要求による開始 から 自動的な開始 に変更されました。
情報,2023/06/13 9:14:16,Service Control Manager,7040,なし,Background Intelligent Transfer Service サービスの開始の種類は 自動的な開始 から 要求による開始 に変更されました。
情報,2023/06/13 9:09:11,Service Control Manager,7040,なし,Background Intelligent Transfer Service サービスの開始の種類は 要求による開始 から 自動的な開始 に変更されました。
情報,2023/06/13 8:28:10,Microsoft-Windows-WindowsUpdateClient,19,Windows Update エージェント,インストールの成功: 次の更新プログラムが正しくインストールされました: Microsoft Defender Antivirus のセキュリティ インテリジェンス更新プログラム - KB2267602 (バージョン 1.391.1206.0)
情報,2023/06/13 8:28:10,Service Control Manager,7045,なし,"サービスがシステムにインストールされました。

サービス名:  MpKsl2f05cae2
サービス ファイル名:  C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{C195D6F5-CADC-4889-8D70-7E9EEE1D6AF6}\MpKslDrv.sys
サービスの種類:  カーネル モード ドライバー
サービス開始の種類:  要求による開始
サービス アカウント:  "
情報,2023/06/13 8:28:09,Microsoft-Windows-WindowsUpdateClient,19,Windows Update エージェント,インストールの成功: 次の更新プログラムが正しくインストールされました: 9WZDNCRFHVQM-MICROSOFT.WINDOWSCOMMUNICATIONSAPPS
情報,2023/06/13 8:28:08,Microsoft-Windows-WindowsUpdateClient,43,Windows Update エージェント,インストールの開始: 次の更新プログラムのインストールが開始されました: 9WZDNCRFHVQM-MICROSOFT.WINDOWSCOMMUNICATIONSAPPS
情報,2023/06/13 8:28:07,Microsoft-Windows-Kernel-General,16,なし,ハイブ \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\microsoft.windowscommunicationsapps_16005.14326.21472.0_x64__8wekyb3d8bbwe\ActivationStore.dat のアクセス履歴がクリアされました。これにより、0 のキーが更新され、0 の変更されたページが作成されました。
情報,2023/06/13 8:28:00,Microsoft-Windows-WindowsUpdateClient,43,Windows Update エージェント,インストールの開始: 次の更新プログラムのインストールが開始されました: Microsoft Defender Antivirus のセキュリティ インテリジェンス更新プログラム - KB2267602 (バージョン 1.391.1206.0)
情報,2023/06/13 8:28:00,Microsoft-Windows-WindowsUpdateClient,44,Windows Update エージェント,Windows Update は更新プログラムのダウンロードを開始しました。
